id,user_id,skills,experience_years,resume_url,bio,education,current_role,current_company,industry,preferred_job_titles,preferred_employment_type,expected_salary_range,notice_period,open_to_relocation,remote_preference,linkedin_url,github_url,website_url,created_at,updated_at
3f946691-5954-455e-b664-d3d85b0785f3,a8a807dc-e7d1-42c9-9f27-531cc67de39a,"{Machine Learning,Git,Cassandra,Linux,Microservices,Bash,Terraform,Remix,Ethical Hacking,GitLab CI,CSS,MySQL}",14,https://example.com/resumes/a8a807dc-e7d1-42c9-9f27-531cc67de39a.pdf,Experienced professional with 4 years in the industry...,Bachelor of Science in Network Engineering in Mathematics,Product Manager,Meta,E-commerce,"{Frontend Developer,Full Stack Developer,UX Designer}",full-time,$161k - $264k,1 month,true,remote,https://linkedin.com/in/user871,https://github.com/user627,https://user143.dev,2025-10-16 00:44:22+00,2025-10-30 00:44:22+00
b4828ff2-52da-438b-ad30-f5fa7e8cb595,01c13383-95a7-4c77-bc3e-70f0b3ad91e3,"{Deep Learning,MongoDB,Scala,PowerShell,R,Linux,Firebase,ASP.NET}",12,https://example.com/resumes/01c13383-95a7-4c77-bc3e-70f0b3ad91e3.pdf,Experienced professional with 4 years in the industry...,Associate Degree in Software Engineering,DevOps Engineer,Uber,Finance,"{DevOps Engineer,UX Designer}",full-time,$139k - $288k,1 month,true,hybrid,https://linkedin.com/in/user324,https://github.com/user856,https://user193.dev,2025-10-14 00:44:22+00,2025-11-14 00:44:22+00
b9c22b4a-a355-45ca-852f-abbea26b57a0,73225328-b886-481d-8ff9-d71103847fc2,"{PostgreSQL,Computer Vision,REST API,SASS,Blockchain}",7,https://example.com/resumes/73225328-b886-481d-8ff9-d71103847fc2.pdf,Experienced professional with 12 years in the industry...,Master of Science in Artificial Intelligence in Mathematics,Security Architect,IBM,Healthcare,{DevOps Engineer},contract,$179k - $240k,1 month,false,onsite,https://linkedin.com/in/user394,https://github.com/user296,https://user648.dev,2025-04-01 00:44:22+00,2025-11-09 00:44:22+00
89be45a2-0c52-44a7-88b4-1495562d8147,5df485b2-f60f-49bb-ae71-eb89ec71cbfa,"{Blockchain,PostgreSQL,Azure,Cybersecurity,Firebase,Android Development,DynamoDB,Xamarin,Flutter}",8,https://example.com/resumes/5df485b2-f60f-49bb-ae71-eb89ec71cbfa.pdf,Experienced professional with 8 years in the industry...,Master of Science in Data Science in Software Engineering,Web3 Developer,Meta,Technology,"{Frontend Developer,DevOps Engineer}",part-time,$112k - $279k,Immediate,false,remote,https://linkedin.com/in/user917,https://github.com/user603,https://user29.dev,2025-08-05 00:44:22+00,2025-10-18 00:44:22+00
49fe4e66-c782-4ac3-96eb-c8b73072773c,74f7edd6-6a84-4ccc-ac26-e7e1b042831b,"{Ruby on Rails,Computer Vision,C#,Kotlin,Agile}",7,https://example.com/resumes/74f7edd6-6a84-4ccc-ac26-e7e1b042831b.pdf,Experienced professional with 5 years in the industry...,Master of Science in Computer Engineering in Mathematics,Backend Developer,Uber,Healthcare,"{DevOps Engineer,Product Manager,Senior Software Engineer}",contract,$140k - $262k,1 month,false,hybrid,https://linkedin.com/in/user27,https://github.com/user59,https://user92.dev,2025-04-22 00:44:22+00,2025-11-01 00:44:22+00
e9835e49-684b-4156-870a-4d8431feb4b6,e4ac0baa-63df-4e8d-89e8-5e93774bb1b2,"{Data Science,MongoDB,Machine Learning,Perl,Python,Computer Vision,ASP.NET,Natural Language Processing,Svelte}",8,https://example.com/resumes/e4ac0baa-63df-4e8d-89e8-5e93774bb1b2.pdf,Experienced professional with 8 years in the industry...,Bachelor of Science in Software Engineering in Computer Science,Quantum Computing Engineer,Cisco,Finance,{Senior Software Engineer},contract,$92k - $220k,2 weeks,true,onsite,https://linkedin.com/in/user247,https://github.com/user11,https://user854.dev,2024-11-23 00:44:22+00,2025-11-02 00:44:22+00
3e934dca-998d-4942-a4cc-54235774b077,27597932-83cb-4a4a-b445-b12d8acff9dd,"{Cassandra,Scrum,System Design,PostgreSQL,ASP.NET,Android Development,Machine Learning}",7,https://example.com/resumes/27597932-83cb-4a4a-b445-b12d8acff9dd.pdf,Experienced professional with 12 years in the industry...,Bachelor of Science in Data Science in Software Engineering,AI Engineer,Airbnb,Healthcare,{Machine Learning Engineer},part-time,$91k - $202k,2 weeks,true,onsite,https://linkedin.com/in/user643,https://github.com/user687,https://user874.dev,2024-12-01 00:44:22+00,2025-10-20 00:44:22+00
82f563d4-4c3b-4d48-89aa-15f03b931d78,54a462f9-3925-49a0-b65f-1ff73f44bf8d,"{DevOps,TypeScript,TensorFlow,PHP,C#,Elasticsearch}",13,https://example.com/resumes/54a462f9-3925-49a0-b65f-1ff73f44bf8d.pdf,Experienced professional with 8 years in the industry...,Bachelor of Science in Artificial Intelligence in Physics,Platform Engineer,Tesla,E-commerce,{Backend Developer},full-time,$93k - $204k,1 month,true,onsite,https://linkedin.com/in/user760,https://github.com/user918,https://user517.dev,2025-02-15 00:44:22+00,2025-11-08 00:44:22+00
a0484a76-933a-4b91-a252-51ed19073499,e122e604-4437-448d-a0de-f50434d94a93,"{Express,Angular,Web3,ASP.NET,GitLab CI,Cassandra,GCP,Scala,REST API,Linux}",3,https://example.com/resumes/e122e604-4437-448d-a0de-f50434d94a93.pdf,Experienced professional with 11 years in the industry...,Doctor of Philosophy in Data Science,Product Manager,Stripe,Healthcare,{Full Stack Developer},part-time,$90k - $259k,1 month,true,onsite,https://linkedin.com/in/user864,https://github.com/user219,https://user964.dev,2025-03-10 00:44:22+00,2025-10-24 00:44:22+00
2aa6072a-f009-4e61-af7c-bd8fad0a99fa,9d934cde-22f4-4f01-851f-d68318b4c289,"{MATLAB,Redis,SASS,PostgreSQL,MySQL,Next.js,Solidity,Penetration Testing,Ethical Hacking}",3,https://example.com/resumes/9d934cde-22f4-4f01-851f-d68318b4c289.pdf,Experienced professional with 14 years in the industry...,Master of Science in Information Technology in Information Systems,Cloud Architect,VMware,Technology,{Full Stack Developer},contract,$140k - $221k,Immediate,true,hybrid,https://linkedin.com/in/user941,https://github.com/user71,https://user786.dev,2025-04-19 00:44:22+00,2025-11-05 00:44:22+00
098f44b7-c6a8-45bd-86b1-b98331b81f69,b76e52cf-a4c4-413e-b57c-975c9b1011a2,"{Blockchain,Ansible,MySQL,Mobile Development,Machine Learning,React Native,Computer Vision,Natural Language Processing}",14,https://example.com/resumes/b76e52cf-a4c4-413e-b57c-975c9b1011a2.pdf,Experienced professional with 5 years in the industry...,Bachelor of Science in Data Science in Mathematics,Embedded Systems Engineer,Adobe,Technology,{UX Designer},full-time,$155k - $270k,1 month,true,hybrid,https://linkedin.com/in/user748,https://github.com/user683,https://user141.dev,2025-03-24 00:44:22+00,2025-11-13 00:44:22+00
acaade57-ce25-46f2-bacb-26847cedc818,8e1e7635-3442-4b85-b782-05df4bfb3fd6,"{Vite,FastAPI,Swift,TensorFlow,Kubernetes}",5,https://example.com/resumes/8e1e7635-3442-4b85-b782-05df4bfb3fd6.pdf,Experienced professional with 10 years in the industry...,Bachelor of Science in Artificial Intelligence in Computer Science,Quantum Computing Engineer,Intel,Healthcare,"{DevOps Engineer,Senior Software Engineer}",full-time,$175k - $238k,Immediate,false,remote,https://linkedin.com/in/user994,https://github.com/user98,https://user495.dev,2025-09-17 00:44:22+00,2025-10-27 00:44:22+00
386ab967-373c-4349-8df1-74945d72a7ac,d14223a1-9ac0-4c50-bf81-eac65e92d429,"{TypeScript,Solidity,Vite,PostgreSQL,SASS,Go,Vue.js,PowerShell,Bash}",7,https://example.com/resumes/d14223a1-9ac0-4c50-bf81-eac65e92d429.pdf,Experienced professional with 8 years in the industry...,Bachelor of Science in Information Technology in Electrical Engineering,AI Engineer,Google,Technology,"{UX Designer,Full Stack Developer,Software Engineer}",contract,$151k - $282k,2 weeks,true,remote,https://linkedin.com/in/user67,https://github.com/user933,https://user486.dev,2025-08-05 00:44:22+00,2025-11-08 00:44:22+00
544bed59-290b-42ec-950a-48a2c639eadf,f98d8b7d-7a5c-472c-9a13-e01cb7f12935,"{Docker,Kotlin,Perl,REST API,R,PostgreSQL,CSS,DevOps,Flask,Rust}",5,https://example.com/resumes/f98d8b7d-7a5c-472c-9a13-e01cb7f12935.pdf,Experienced professional with 13 years in the industry...,Master of Science in Data Science in Physics,Technical Lead,VMware,Finance,{Frontend Developer},part-time,$84k - $246k,1 month,false,hybrid,https://linkedin.com/in/user940,https://github.com/user184,https://user628.dev,2025-01-02 00:44:22+00,2025-11-04 00:44:22+00
44482a2a-89f4-4878-a57c-b901c8b7a7a2,495473d1-c42c-48af-b20b-784990bb9553,"{C#,Smart Contracts,Ethical Hacking,Docker,Android Development,Nuxt.js,Scrum}",2,https://example.com/resumes/495473d1-c42c-48af-b20b-784990bb9553.pdf,Experienced professional with 5 years in the industry...,Master of Science in Information Systems in Software Engineering,Security Engineer,Intel,E-commerce,{Machine Learning Engineer},part-time,$159k - $249k,Immediate,false,hybrid,https://linkedin.com/in/user792,https://github.com/user124,https://user850.dev,2025-08-25 00:44:22+00,2025-11-07 00:44:22+00
